Match Number,Team Number,Auto Switch,Auto Scale,Tele Switch,Tele Scale,Vault,Climb
1,2912,0,0,2,0,0,0
1,2377,0,0,0,3,0,1
1,3793,0,0,0,0,1,0
1,5587,0,0,1,2,0,0
1,2537,0,0,0,2,0,0
1,4949,0,0,0,0,0,0
2,5243,0,0,1,1,0,0
2,1915,0,0,0,0,0,0
2,6326,0,0,0,0,1,0
2,2199,0,0,0,0,1,0
2,4464,0,0,0,0,0,0
2,3748,0,0,1,1,0,0
3,2914,0,0,3,0,2,0
3,449,0,0,1,0,0,0
3,2900,0,0,0,0,0,0
3,2819,0,0,0,0,0,0
3,2849,0,0,1,1,5,0
3,116,0,0,3,2,0,0
4,6504,0,0,1,0,1,0
4,1731,1,0,3,0,8,0
4,1123,1,0,4,0,7,0
4,3455,0,0,0,0,3,0
4,225,1,0,1,3,5,1
4,1418,1,0,3,0,0,1
5,1885,0,0,0,1,1,0
5,4821,0,0,1,0,1,0
5,2421,0,0,0,0,0,0
5,1446,0,0,0,0,0,0
5,1111,0,0,0,2,1,0
5,5830,0,0,0,1,0,0
6,5338,1,0,0,2,3,0
6,4638,0,0,0,0,1,0
6,2961,0,0,0,0,0,0
6,1389,0,0,0,0,0,0
6,4505,0,0,1,0,1,0
6,4242,0,0,1,0,0,0
7,4456,0,0,1,0,3,0
7,1418,0,0,1,4,0,0
7,4949,0,0,0,0,0,0
7,116,0,0,0,0,7,0
7,1629,2,0,0,5,1,0
7,5243,0,0,3,0,0,0
8,1446,0,0,1,0,0,0
8,3793,0,0,0,0,4,0
8,2421,0,0,0,3,0,0
8,2199,0,0,1,1,0,0
8,2537,1,0,0,3,0,0
8,449,0,0,0,0,4,0
9,6504,0,0,0,0,2,0
9,4821,0,0,0,0,2,0
9,2377,1,0,0,4,0,0
9,1885,0,0,1,0,4,0
9,5338,1,0,0,4,0,1
9,4505,0,0,0,0,3,0
10,6326,0,0,0,0,1,0
10,2819,0,0,0,0,0,0
10,225,0,1,2,0,7,1
10,2961,0,0,0,0,0,0
10,1123,0,0,0,0,0,0
10,4464,0,0,0,0,0,0
11,1389,0,0,0,0,2,0
11,4638,0,0,0,0,0,0
11,4456,0,0,1,0,0,0
11,3748,0,0,1,0,0,0
11,5587,0,0,1,2,1,0
11,1111,0,0,0,0,0,0
12,1915,0,0,0,0,0,0
12,1629,2,0,1,4,1,0
12,2912,0,0,0,0,4,0
12,4242,0,0,1,0,2,0
12,2900,0,0,0,0,0,0
12,3455,0,0,1,0,0,0
13,5830,0,0,0,1,0,0
13,4949,0,0,0,0,0,0
13,2849,0,0,0,0,5,0
13,2914,0,0,2,0,0,0
13,1731,1,1,0,0,9,0
13,2537,0,0,0,1,0,0
14,116,0,0,1,1,5,0
14,1389,1,0,0,0,0,0
14,1111,0,0,0,1,0,0
14,3793,0,0,0,0,0,0
14,5243,1,0,1,0,0,0
14,4505,0,0,0,0,0,0
15,225,0,1,4,2,0,0
15,1123,0,0,0,0,0,0
15,1629,1,0,1,2,9,1
15,2900,0,0,0,0,0,0
15,3748,0,0,0,0,0,0
15,1885,0,0,2,1,0,0
16,1915,0,0,0,0,0,0
16,4242,1,0,1,0,1,0
16,2914,0,0,0,0,0,0
16,2421,0,0,1,0,0,0
16,3455,1,0,1,0,0,0
16,1731,0,1,1,1,9,0
17,2377,1,0,0,3,1,1
17,2961,0,0,0,0,0,0
17,5587,1,0,0,2,5,0
17,2199,0,0,0,4,0,0
17,1446,0,0,0,0,0,0
17,4821,0,0,1,0,4,0
18,449,0,0,0,1,2,0
18,4464,0,0,0,0,0,0
18,2819,0,0,0,0,0,0
18,5830,0,0,0,1,0,0
18,6504,0,0,0,0,6,0
18,4638,0,0,0,0,0,0
19,1418,0,1,2,1,0,1
19,5338,1,0,2,2,2,0
19,6326,0,0,0,0,4,0
19,4456,0,0,1,1,0,0
19,2849,1,0,0,0,3,0
19,2912,0,0,0,3,0,0
20,2914,0,0,3,0,3,0
20,1389,0,0,0,0,0,0
20,1446,0,0,0,0,0,0
20,4949,0,0,0,0,0,0
20,2900,0,0,0,0,1,0
20,1123,0,0,0,0,0,0
21,2421,0,0,0,1,0,0
21,4505,0,0,0,0,3,0
21,5587,1,0,0,0,5,0
21,1111,0,0,1,0,0,0
21,5243,0,0,0,0,0,0
21,4242,0,0,1,0,1,0
22,1629,1,0,3,1,1,1
22,2199,0,0,1,2,0,0
22,1731,1,1,2,0,8,0
22,5338,1,0,4,0,0,0
22,2912,0,0,0,0,4,0
22,2537,0,0,0,1,0,0
23,4456,0,0,2,1,1,0
23,6326,0,0,0,0,6,0
23,2377,0,0,0,2,0,1
23,449,0,0,1,0,0,0
23,3455,0,0,0,0,0,0
23,4638,0,0,0,0,0,0
29,4464,0,0,0,0,0,0
29,1629,2,0,0,0,0,0
29,2914,0,0,3,0,3,0
29,2421,0,0,3,0,0,0
29,2377,0,0,1,0,3,0
29,225,1,0,3,2,2,0
30,6504,0,0,0,0,7,0
30,2849,0,0,0,0,0,0
30,2199,1,0,0,0,0,0
30,116,0,0,0,1,0,0
30,4242,0,0,3,0,1,0
30,1885,0,0,0,2,3,0
31,4505,0,0,0,0,2,0
31,1731,1,0,0,2,1,0
31,1446,0,0,0,0,0,0
31,3748,0,0,1,0,0,0
31,4456,0,0,0,3,0,0
31,2819,0,0,0,0,2,0
32,5243,0,0,0,1,0,0
32,1418,1,0,0,5,2,0
32,2900,0,0,0,0,2,0
32,4638,0,0,1,0,0,0
32,6326,0,0,0,0,3,0
32,2914,0,0,1,0,3,0
33,449,0,0,0,2,0,0
33,1885,0,0,2,3,3,0
33,3793,0,0,0,0,9,0
33,3455,0,0,0,0,2,0
33,5338,1,0,1,2,0,1
33,1629,2,0,1,4,1,0
34,225,0,1,2,1,0,1
34,4821,0,0,2,0,2,0
34,4505,0,0,0,0,0,0
34,5587,1,0,5,2,0,0
34,2849,0,0,0,0,0,0
34,1731,0,1,0,1,5,0
35,1123,0,0,1,0,1,0
35,1446,0,0,1,0,0,0
35,4242,1,0,2,0,0,0
35,2377,0,0,1,2,1,0
35,1418,1,0,4,0,0,0
35,4464,0,0,0,0,2,0
36,5830,0,0,0,1,0,0
36,2199,1,0,0,2,0,0
36,2819,0,0,0,0,1,0
36,5243,0,0,0,1,0,0
36,2912,0,0,1,0,2,0
36,3748,0,0,0,0,0,0
37,4949,0,0,0,0,0,0
37,6504,0,0,0,1,1,0
37,1389,0,0,0,0,1,0
37,6326,0,0,0,1,4,0
37,2961,0,0,0,0,2,0
37,2421,0,0,1,2,0,1
38,116,0,0,0,1,1,0
38,4456,0,0,3,0,0,0
38,2537,1,0,0,0,1,0
38,1111,0,0,0,1,0,0
38,4638,0,0,0,0,0,0
38,1915,0,0,0,0,4,0
39,5338,1,0,0,0,2,0
39,2377,0,0,2,4,0,0
39,5830,0,0,0,0,0,0
39,5587,0,0,0,0,2,0
39,5243,0,0,2,0,0,0
39,1123,0,0,0,0,3,0
40,2819,0,0,0,0,4,0
40,1731,1,1,0,4,0,0
40,4821,0,0,1,0,0,0
40,1629,0,0,0,4,3,1
40,3793,0,0,0,1,1,0
40,1389,0,0,1,0,1,0
41,3748,0,0,1,0,0,0
41,4638,0,0,0,0,0,0
41,1446,0,0,0,0,0,0
41,2912,0,0,0,0,2,0
41,2421,0,0,1,2,0,1
41,4242,0,0,4,0,1,0
42,2199,0,0,0,2,1,0
42,116,0,0,1,2,4,0
42,2961,0,0,0,0,0,0
42,225,0,0,1,5,0,1
42,449,0,0,0,0,3,0
42,4456,0,0,3,0,3,0
43,2537,1,0,0,3,1,1
43,1111,0,0,0,1,2,0
43,2900,0,0,0,0,3,0
43,6326,0,0,0,1,0,0
43,6504,0,0,0,0,6,1
43,3455,1,0,0,1,1,0
44,4505,0,0,1,0,6,0
44,2914,0,0,3,0,1,0
44,1418,0,1,0,2,0,0
44,4464,0,0,0,0,3,0
44,1915,0,0,0,0,1,0
44,1885,0,0,2,3,0,0
45,2849,0,0,1,2,3,0
45,3748,0,0,0,0,2,0
45,449,0,0,0,3,0,0
45,4949,0,0,0,0,0,0
45,2377,0,0,1,1,0,0
45,2199,0,0,0,0,0,0
46,4638,0,0,1,0,0,0
46,5243,0,0,0,2,0,0
46,1731,0,1,1,0,9,1
46,1446,0,0,1,0,0,0
46,6504,1,0,0,0,7,0
46,2961,0,0,0,0,0,0
47,1123,0,0,0,0,1,0
47,5830,0,0,0,1,0,0
47,6326,0,0,2,1,0,0
47,4505,0,0,1,0,5,0
47,1111,0,0,0,2,2,0
47,1629,0,0,1,3,0,0
48,2912,0,0,1,0,2,0
48,116,0,0,0,0,4,0
48,225,0,0,0,3,0,1
48,5338,1,0,0,2,0,1
48,2421,0,0,0,3,0,0
48,1915,0,0,0,0,3,0
49,2537,1,0,0,2,2,1
49,1885,0,1,3,2,1,0
49,2849,1,0,0,0,5,0
49,4464,0,0,0,0,2,0
49,5587,0,0,2,0,0,0
49,1389,1,0,0,0,2,0
50,4242,1,0,3,0,0,0
50,4821,0,0,1,0,4,0
50,1418,0,0,1,3,0,1
50,3793,0,0,1,1,0,0
50,2900,0,0,0,0,1,0
50,2819,0,0,0,0,1,0
51,4949,0,0,0,0,0,0
51,3455,1,0,0,2,0,0
51,3748,0,0,0,0,2,0
51,4456,0,0,2,0,0,0
51,2914,0,0,4,0,0,0
51,5830,0,0,0,3,0,0
52,2912,0,0,0,0,0,0
52,6326,0,0,0,0,9,0
52,5587,0,0,1,0,0,0
52,1629,1,0,1,4,3,1
52,1885,0,1,3,1,0,0
52,6504,0,0,0,0,6,0
53,2819,0,0,0,0,0,0
53,1389,0,0,0,0,4,0
53,5338,1,0,3,0,0,1
53,1915,0,0,0,0,2,0
53,1418,0,1,1,3,0,1
53,1446,0,0,1,0,0,0
54,4242,1,0,2,0,0,0
54,2961,0,0,0,0,2,0
54,449,0,0,0,1,4,0
54,2849,0,0,2,0,5,0
54,1123,0,0,0,0,2,0
54,4638,0,0,0,0,0,0
55,5243,0,0,6,0,0,0
55,4949,0,0,0,0,0,0
55,4464,0,0,0,0,2,0
55,1731,1,0,3,3,0,0
55,116,0,0,0,0,9,0
55,3793,0,0,0,0,0,0
56,2900,0,0,0,0,3,0
56,2421,1,0,0,2,0,1
56,4456,0,0,1,0,0,0
56,2537,1,0,0,1,1,0
56,4505,0,0,0,0,9,0
56,2377,0,0,1,3,0,1
57,1111,0,0,1,0,0,0
57,3455,0,0,0,4,0,0
57,4821,0,0,1,0,4,0
57,225,2,0,1,5,0,1
57,2914,0,0,0,0,9,0
57,2199,0,1,0,0,0,0
58,1446,0,0,0,0,0,0
58,1885,0,0,0,4,1,0
58,5587,1,0,1,0,0,0
58,449,0,0,0,0,3,0
58,5830,0,0,1,3,0,0
58,1915,0,0,0,0,0,0
59,4242,0,0,0,0,4,0
59,2537,1,0,2,0,2,0
59,1629,0,1,4,3,1,0
59,2961,0,0,0,0,0,0
59,2819,0,0,1,0,1,0
59,5243,0,0,2,0,0,0
60,2377,1,0,0,2,0,1
60,116,0,0,1,3,0,0
60,2914,0,0,1,0,6,0
60,1731,0,1,3,2,0,1
60,1389,0,0,0,0,0,0
60,6326,0,0,0,0,8,0
61,2900,0,0,0,0,3,0
61,4464,0,0,0,0,0,0
61,4638,0,0,0,0,0,0
61,225,2,0,1,3,1,1
61,3793,0,0,0,0,8,0
61,1111,0,0,0,0,0,0
62,3455,1,0,0,2,1,0
62,2912,0,0,0,0,3,0
62,2199,0,0,3,2,0,0
62,4505,0,0,0,0,8,0
62,4456,0,0,1,4,0,0
62,1123,0,0,0,0,0,0
63,1418,0,0,1,6,0,1
63,3748,0,0,0,0,0,0
63,6504,0,0,0,0,7,0
63,4821,0,0,1,0,5,0
63,4949,0,0,0,0,0,0
63,5338,1,0,0,2,0,1
64,2421,0,0,3,1,0,0
64,2819,0,0,0,0,2,0
64,1111,0,0,0,2,0,0
64,2849,0,0,1,0,3,0
64,2900,0,0,0,0,0,0
64,2377,0,1,0,1,2,1
65,2914,0,0,1,0,3,0
65,1885,0,0,1,6,0,1
65,2912,0,0,0,0,3,0
65,2961,0,0,0,0,1,0
65,4456,0,0,0,0,0,0
65,3793,1,0,0,1,0,0
66,4464,0,0,0,0,0,0
66,4505,0,0,1,0,6,0
66,6504,0,0,0,0,0,0
66,1731,1,2,1,0,9,0
66,449,0,0,0,0,0,0
66,5338,1,0,2,1,0,1
67,4242,1,0,0,0,5,0
67,4949,0,0,0,0,0,0
67,225,2,0,3,6,1,1
67,1389,0,0,0,0,0,0
67,2421,0,0,1,4,0,1
67,5830,0,0,0,1,3,0
68,1123,0,0,0,0,0,0
68,2537,1,0,0,3,0,1
68,3748,0,0,2,0,1,0
68,1418,0,1,0,5,0,1
68,5587,1,0,3,0,0,0
68,116,0,0,0,0,9,0
69,3455,0,0,0,4,0,0
69,1446,0,0,0,0,1,0
69,5243,1,0,0,0,4,0
69,2849,0,0,1,0,8,0
69,6326,0,0,1,4,0,0
69,4821,0,0,2,0,0,0
70,1915,0,0,0,0,0,0
70,2199,1,0,0,2,0,0
70,4505,0,0,0,0,7,0
70,4638,0,0,0,0,0,0
70,1629,1,0,0,5,1,0
70,4949,0,0,0,0,1,0